Time(ms),X(mG),Y(mG),Z(mG),Classification
,-3640,920,3344,Jumping Jacks
,-3304,824,3000,Jumping Jacks
,-2744,1312,2408,Jumping Jacks
,-2208,1424,2712,Jumping Jacks
,-1232,2008,2704,Jumping Jacks
,-1208,3040,4080,Jumping Jacks
,-1864,3560,3944,Jumping Jacks
,-1968,3816,4056,Jumping Jacks
,-1920,3056,2616,Jumping Jacks
,-1720,2224,1896,Jumping Jacks
,-1976,1640,2208,Jumping Jacks
,-2432,1576,2760,Jumping Jacks
,-2880,1760,3144,Jumping Jacks
,-3096,1552,2448,Jumping Jacks
,-3096,1184,1168,Jumping Jacks
,-3048,328,-1824,Jumping Jacks
,-3280,-1408,-2976,Jumping Jacks
,-3456,-2304,-3464,Jumping Jacks
,-3208,-2360,-1728,Jumping Jacks
,-3640,-1344,1584,Jumping Jacks
,-3864,160,4080,Jumping Jacks
,-3968,1008,4080,Jumping Jacks
,-3632,1104,3448,Jumping Jacks
,-3288,1048,3016,Jumping Jacks
,-2848,1416,3216,Jumping Jacks
,-1872,1480,2840,Jumping Jacks
,-1312,2776,4080,Jumping Jacks
,-1936,3432,3136,Jumping Jacks
,-2176,3752,3480,Jumping Jacks
,-2072,3168,2464,Jumping Jacks
,-1656,2384,1944,Jumping Jacks
,-1696,1776,1960,Jumping Jacks
,-1928,904,3168,Jumping Jacks
,-2488,1176,3936,Jumping Jacks
,-2792,864,3544,Jumping Jacks
,-2720,568,2048,Jumping Jacks
,-2416,296,1136,Jumping Jacks
,-2672,-360,-1448,Jumping Jacks
,-2952,-1224,-2496,Jumping Jacks
,-3264,-2560,-2664,Jumping Jacks
,-3176,-2816,-1184,Jumping Jacks
,-3632,-1816,2352,Jumping Jacks
,-3856,-48,4080,Jumping Jacks
,-3968,544,3280,Jumping Jacks
,-3800,160,4080,Jumping Jacks
,-3104,792,2488,Jumping Jacks
,-2208,640,2176,Jumping Jacks
,-1400,1224,2648,Jumping Jacks
,-1456,2144,3872,Jumping Jacks
,-2160,3112,3800,Jumping Jacks
,-2360,3592,3584,Jumping Jacks
,-2224,3208,2752,Jumping Jacks
,-2000,2344,1936,Jumping Jacks
,-2112,1672,1760,Jumping Jacks
,-2328,1256,1904,Jumping Jacks
,-2536,1160,2376,Jumping Jacks
,-2848,1208,2608,Jumping Jacks
,-2896,1120,2104,Jumping Jacks
,-2608,704,1024,Jumping Jacks
,-2368,-224,-1256,Jumping Jacks
,-2432,-1512,-3000,Jumping Jacks
,-2632,-2304,-3680,Jumping Jacks
,-2672,-2704,-2176,Jumping Jacks
,-3376,-1704,1000,Jumping Jacks
,-3728,-16,2296,Jumping Jacks
,-3904,1152,4080,Jumping Jacks
,-3960,1192,3936,Jumping Jacks
