Time(ms),X(mG),Y(mG),Z(mG),Classification
 1438774869076,+1024, +184,  -72,Staying Still
 1438774869116,+1024, +184,  -80,Staying Still
 1438774869156,+1016, +184,  -72,Staying Still
 1438774869196,+1024, +184,  -72,Staying Still
 1438774869236,+1032, +184,  -96,Staying Still
 1438774869276,+1024, +184,  -56,Staying Still
 1438774869316,+1024, +192,  -56,Staying Still
 1438774869356,+1024, +192,  -72,Staying Still
 1438774869396,+1024, +192,  -80,Staying Still
 1438774869436,+1032, +184,  -72,Staying Still
 1438774869476,+1024, +192,  -88,Staying Still
 1438774869516,+1024, +200,  -72,Staying Still
 1438774869556,+1024, +184,  -80,Staying Still
 1438774869596,+1024, +184,  -56,Staying Still
 1438774869636,+1024, +192,  -72,Staying Still
 1438774869676,+1024, +184,  -72,Staying Still
 1438774869716,+1024, +192,  -64,Staying Still
 1438774869756,+1024, +192,  -64,Staying Still
 1438774869796,+1032, +200,  -88,Staying Still
 1438774869836,+1032, +200,  -72,Staying Still
 1438774869876,+1024, +192,  -64,Staying Still
 1438774869916,+1024, +184,  -72,Staying Still
 1438774869956,+1024, +192,  -88,Staying Still
 1438774869996,+1016, +192,  -88,Staying Still
