Time (s),X(mG),Y(mG),Z(mG),Classification
15.24,800,288,-72,Walking
15.28,808,264,-80,Walking
15.32,840,272,-96,Walking
15.36,864,296,-80,Walking
15.4,872,312,-168,Walking
15.44,936,288,-184,Walking
15.48,1040,248,-160,Walking
15.52,1136,232,-176,Walking
15.56,1032,264,-184,Walking
15.6,816,328,-240,Walking
15.64,808,344,-184,Walking
15.68,888,296,-224,Walking
15.72,968,232,-256,Walking
15.76,976,200,-240,Walking
15.8,928,264,-200,Walking
15.84,872,344,-192,Walking
15.88,832,328,-224,Walking
15.92,824,288,-160,Walking
15.96,832,216,-168,Walking
16,856,152,-168,Walking
16.04,904,216,-128,Walking
16.08,912,280,-120,Walking
16.12,936,304,-96,Walking
16.16,1016,296,-176,Walking
16.2,1080,320,-160,Walking
16.24,1152,360,-136,Walking
16.28,1104,376,-136,Walking
16.32,968,344,-144,Walking
16.36,920,328,-144,Walking
16.4,944,312,-128,Walking
16.44,968,272,-120,Walking
16.48,960,240,-104,Walking
16.52,928,232,-160,Walking
16.56,896,240,-144,Walking
16.6,840,248,-168,Walking
16.64,784,248,-184,Walking
16.68,776,240,-216,Walking
16.72,800,224,-192,Walking
16.76,824,208,-192,Walking
16.8,872,208,-232,Walking
16.84,928,216,-248,Walking
16.88,1040,208,-192,Walking
16.92,1096,224,-176,Walking
16.96,1064,272,-160,Walking
17,928,304,-128,Walking
17.04,928,296,-72,Walking
17.08,928,264,-104,Walking
17.12,960,224,-120,Walking
17.16,944,248,-120,Walking
17.2,904,304,-152,Walking
17.24,856,352,-216,Walking
17.28,824,352,-272,Walking
17.32,800,336,-312,Walking
17.36,800,304,-368,Walking
17.4,808,312,-432,Walking
17.44,856,344,-432,Walking
17.48,920,336,-384,Walking
17.52,1032,304,-392,Walking
17.56,1136,280,-376,Walking
17.6,1216,296,-336,Walking
17.64,1128,288,-232,Walking
17.68,976,304,-200,Walking
17.72,952,360,-200,Walking
17.76,968,368,-120,Walking
17.8,960,320,-112,Walking
17.84,952,272,-160,Walking
17.88,912,248,-112,Walking
17.92,848,280,-72,Walking
17.96,800,304,-104,Walking
18,760,304,-128,Walking
18.04,760,288,-176,Walking
18.08,800,280,-184,Walking
18.12,856,240,-192,Walking
18.16,904,208,-240,Walking
18.2,984,192,-192,Walking
18.24,1016,216,-288,Walking
18.28,1008,224,-288,Walking
18.32,928,224,-296,Walking
18.36,936,216,-224,Walking
18.4,992,208,-232,Walking
18.44,1008,216,-184,Walking
18.48,968,264,-168,Walking
18.52,912,328,-200,Walking
18.56,840,360,-232,Walking
18.6,808,360,-304,Walking
18.64,776,352,-320,Walking
18.68,816,352,-376,Walking
18.72,880,352,-376,Walking
18.76,952,336,-336,Walking
18.8,992,296,-336,Walking
18.84,976,256,-280,Walking
18.88,960,240,-192,Walking
18.92,968,280,-216,Walking
18.96,1048,320,-176,Walking
19,1120,360,-128,Walking
19.04,1032,352,-72,Walking
19.08,960,344,-104,Walking
19.12,944,352,-40,Walking
19.16,928,392,-56,Walking
19.2,968,416,-40,Walking
19.24,944,392,-64,Walking
19.28,912,384,-152,Walking
19.32,832,384,-160,Walking
19.36,720,400,-240,Walking
19.4,640,368,-240,Walking
19.44,656,336,-200,Walking
19.48,696,288,-192,Walking
19.52,752,272,-168,Walking
19.56,800,288,-144,Walking
19.6,904,312,-144,Walking
19.64,992,312,-176,Walking
19.68,1176,264,-160,Walking
19.72,1144,256,-200,Walking
19.76,968,304,-216,Walking
19.8,904,320,-144,Walking
19.84,1008,336,-152,Walking
19.88,1032,320,-88,Walking
19.92,1032,360,-72,Walking
19.96,976,440,-80,Walking
20,920,504,-136,Walking
20.04,872,488,-176,Walking
20.08,832,424,-200,Walking
20.12,816,376,-296,Walking
20.16,808,344,-304,Walking
20.2,872,344,-256,Walking
20.24,928,320,-184,Walking
20.28,912,304,-136,Walking
20.32,944,304,-88,Walking
20.36,1008,344,-32,Walking
20.4,1128,440,-48,Walking
20.44,1104,512,72,Walking
20.48,1008,528,136,Walking
20.52,1064,512,136,Walking
20.56,1160,496,152,Walking
20.6,1200,432,144,Walking
20.64,1192,360,104,Walking
20.68,1128,304,104,Walking
20.72,1072,280,88,Walking
20.76,984,272,104,Walking
20.8,904,264,56,Walking
20.84,856,248,0,Walking
20.88,840,224,-32,Walking
20.92,832,224,-120,Walking
20.96,816,192,-192,Walking
21,872,152,-280,Walking
21.04,944,96,-296,Walking
21.08,976,72,-384,Walking
21.12,960,112,-472,Walking
21.16,984,152,-368,Walking
21.2,1040,184,-304,Walking
21.24,1080,168,-344,Walking
21.28,1096,192,-392,Walking
21.32,1032,368,-200,Walking
21.36,912,480,-144,Walking
21.4,848,360,-216,Walking
21.44,832,352,-256,Walking
21.48,840,336,-272,Walking
21.52,872,360,-272,Walking
21.56,904,344,-232,Walking
21.6,904,312,-184,Walking
21.64,904,312,-192,Walking
21.68,912,320,-160,Walking
21.72,1056,392,-152,Walking
21.76,1160,480,-104,Walking
21.8,1184,472,-48,Walking
21.84,1128,408,-56,Walking
21.88,1136,368,-56,Walking
21.92,1088,368,-8,Walking
21.96,1048,344,-64,Walking
22,944,288,-56,Walking
22.04,856,232,-112,Walking
22.08,800,192,-152,Walking
22.12,760,184,-176,Walking
22.16,720,184,-160,Walking
22.2,752,208,-128,Walking
22.24,808,208,-128,Walking
22.28,896,200,-144,Walking
22.32,952,200,-128,Walking
22.36,1088,216,-120,Walking
22.4,1184,240,-120,Walking
22.44,1200,272,-128,Walking
22.48,1072,304,-168,Walking
22.52,992,320,-168,Walking
22.56,1008,296,-192,Walking
22.6,992,264,-168,Walking
22.64,968,296,-160,Walking
22.68,880,328,-184,Walking
22.72,776,344,-216,Walking
22.76,728,352,-312,Walking
22.8,688,328,-408,Walking
22.84,728,280,-448,Walking
22.88,776,256,-464,Walking
22.92,856,224,-464,Walking
22.96,928,200,-416,Walking
23,992,176,-320,Walking
23.04,1080,208,-280,Walking
23.08,1136,264,-264,Walking
23.12,1128,320,-248,Walking
23.16,1016,344,-256,Walking
23.2,928,352,-264,Walking
23.24,912,352,-248,Walking
23.28,928,352,-280,Walking
23.32,944,328,-360,Walking
23.36,944,256,-296,Walking
23.4,928,264,-376,Walking
23.44,864,296,-384,Walking
23.48,776,352,-424,Walking
23.52,744,352,-392,Walking
23.56,728,328,-400,Walking
23.6,736,296,-360,Walking
23.64,704,296,-296,Walking
23.68,696,296,-248,Walking
23.72,688,296,-176,Walking
23.76,808,280,-144,Walking
23.8,880,240,-144,Walking
23.84,936,248,-200,Walking
23.88,936,232,-200,Walking
23.92,896,216,-216,Walking
23.96,952,208,-200,Walking
24,1008,216,-200,Walking
24.04,1064,240,-152,Walking
24.08,1088,312,-120,Walking
24.12,1016,400,-160,Walking
24.16,952,464,-200,Walking
24.2,912,472,-288,Walking
24.24,888,416,-400,Walking
24.28,872,368,-408,Walking
24.32,864,400,-416,Walking
24.36,920,432,-376,Walking
24.4,968,392,-368,Walking
24.44,976,304,-336,Walking
24.48,992,280,-304,Walking
24.52,1104,312,-272,Walking
24.56,1224,360,-144,Walking
24.6,1160,384,-112,Walking
24.64,1048,360,-128,Walking
24.68,1000,320,-24,Walking
24.72,1016,320,-32,Walking
24.76,1056,328,-48,Walking
24.8,1032,312,8,Walking
24.84,952,296,-32,Walking
24.88,880,288,-16,Walking
24.92,800,296,-64,Walking
24.96,736,288,-72,Walking
25,712,272,-120,Walking
25.04,720,224,-168,Walking
25.08,736,184,-168,Walking
25.12,776,168,-176,Walking
25.16,896,200,-176,Walking
25.2,1088,232,-208,Walking
25.24,1224,240,-288,Walking
25.28,1176,240,-352,Walking
25.32,1056,208,-320,Walking
25.36,992,144,-288,Walking
25.4,1000,152,-232,Walking
25.44,992,216,-192,Walking
25.48,960,288,-128,Walking
25.52,904,352,-176,Walking
25.56,816,360,-232,Walking
25.6,776,360,-200,Walking
25.64,768,352,-248,Walking
25.68,784,336,-248,Walking
25.72,840,312,-304,Walking
25.76,872,272,-272,Walking
25.8,920,248,-280,Walking
25.84,960,216,-256,Walking
25.88,1056,240,-216,Walking
25.92,1112,280,-240,Walking
25.96,1176,328,-192,Walking
26,1096,336,-200,Walking
26.04,992,320,-208,Walking
26.08,992,304,-176,Walking
26.12,1032,256,-160,Walking
26.16,1024,208,-128,Walking
26.2,984,192,-120,Walking
26.24,912,184,-72,Walking
26.28,848,216,-112,Walking
26.32,784,224,-144,Walking
26.36,760,216,-144,Walking
26.4,816,224,-144,Walking
26.44,848,224,-144,Walking
26.48,856,232,-136,Walking
26.52,832,272,-112,Walking
26.56,840,312,-120,Walking
26.6,920,328,-144,Walking
26.64,1024,312,-176,Walking
26.68,1264,280,-152,Walking
26.72,1232,320,-120,Walking
26.76,1088,376,-216,Walking
26.8,984,424,-192,Walking
26.84,944,392,-136,Walking
26.88,952,256,-160,Walking
26.92,984,128,-168,Walking
26.96,952,72,-104,Walking
27,944,104,-104,Walking
27.04,816,144,-176,Walking
27.08,752,144,-200,Walking
27.12,728,144,-152,Walking
27.16,760,152,-224,Walking
27.2,792,184,-264,Walking
27.24,816,232,-296,Walking
27.28,816,256,-288,Walking
27.32,824,280,-312,Walking
27.36,856,280,-328,Walking
27.4,1096,320,-376,Walking
27.44,1200,328,-264,Walking
27.48,1144,320,-296,Walking
27.52,1088,336,-320,Walking
27.56,1064,344,-240,Walking
27.6,1104,280,-168,Walking
27.64,1096,200,-72,Walking
27.68,1024,168,-24,Walking
27.72,984,168,0,Walking
