Time,X(mG),Y(mG),Z(mG),Classification
,840,424,-128,Pushups
,840,424,-216,Pushups
,848,416,-192,Pushups
,848,424,-176,Pushups
,848,448,-160,Pushups
,848,464,-112,Pushups
,840,472,-200,Pushups
,840,448,-160,Pushups
,864,424,-96,Pushups
,864,424,-168,Pushups
,888,368,-144,Pushups
,864,352,-240,Pushups
,856,344,-240,Pushups
,864,328,-288,Pushups
,864,328,-344,Pushups
,848,336,-328,Pushups
,864,288,-312,Pushups
,880,264,-352,Pushups
,896,144,-344,Pushups
,904,192,-344,Pushups
,912,-16,-376,Pushups
,936,24,-272,Pushups
,912,-56,-376,Pushups
,920,16,-320,Pushups
,936,-16,-232,Pushups
,880,160,-400,Pushups
,912,176,-304,Pushups
,848,168,-360,Pushups
,856,360,-344,Pushups
,872,304,-392,Pushups
,864,360,-336,Pushups
,888,288,-272,Pushups
,856,344,-320,Pushups
,872,320,-48,Pushups
,856,400,-176,Pushups
,888,368,-160,Pushups
,872,432,-88,Pushups
,880,400,-200,Pushups
,872,416,-184,Pushups
,872,408,-120,Pushups
,864,416,-144,Pushups
,864,424,-160,Pushups
,864,416,-136,Pushups
,864,424,-144,Pushups
,848,440,-144,Pushups
,848,456,-176,Pushups
,848,424,-168,Pushups
,848,464,-120,Pushups
,840,464,-256,Pushups
,840,432,-216,Pushups
,840,416,-240,Pushups
,856,424,-224,Pushups
,856,392,-208,Pushups
,864,392,-168,Pushups
,872,368,-304,Pushups
,872,368,-312,Pushups
,880,312,-288,Pushups
,880,280,-296,Pushups
,896,224,-184,Pushups
,896,184,-336,Pushups
,912,128,-296,Pushups
,896,112,-344,Pushups
,928,-40,-240,Pushups
,952,-40,-264,Pushups
