Time(ms),X(mG),Y(mG),Z(mG),Classification
 1438774592645, +120,  +32,-1088,Staying Still
 1438774592686, +112,  +24,-1080,Staying Still
 1438774592727, +120,  +32,-1072,Staying Still
 1438774592768, +128,  +40,-1064,Staying Still
 1438774592809, +120,  +32,-1072,Staying Still
 1438774592850, +120,  +24,-1080,Staying Still
 1438774592891, +120,  +32,-1088,Staying Still
 1438774592932, +112,  +24,-1072,Staying Still
 1438774592973, +120,  +24,-1064,Staying Still
 1438774593014, +120,  +32,-1080,Staying Still
 1438774593055, +120,  +32,-1072,Staying Still
 1438774593096, +120,  +32,-1064,Staying Still
 1438774593137, +120,  +32,-1080,Staying Still
 1438774593178, +128,  +32,-1088,Staying Still
 1438774593219, +120,  +32,-1080,Staying Still
 1438774593260, +120,  +32,-1072,Staying Still
 1438774593301, +120,  +24,-1072,Staying Still
 1438774593342, +120,  +24,-1072,Staying Still
 1438774593383, +120,  +32,-1072,Staying Still
 1438774593424, +120,  +24,-1072,Staying Still
 1438774593465, +120,  +32,-1072,Staying Still
 1438774593506, +120,  +32,-1072,Staying Still
 1438774593547, +112,  +24,-1064,Staying Still
 1438774593588, +112,  +32,-1072,Staying Still
 1438774593629, +112,  +24,-1088,Staying Still
 1438774593670, +120,  +24,-1080,Staying Still
 1438774593711, +120,  +40,-1080,Staying Still
 1438774593752, +120,  +32,-1080,Staying Still
 1438774593793, +112,  +40,-1080,Staying Still
 1438774593834, +120,  +32,-1072,Staying Still
 1438774593875, +120,  +24,-1064,Staying Still
 1438774593916, +120,  +32,-1064,Staying Still
 1438774593957, +120,  +24,-1088,Staying Still
 1438774593998, +112,  +32,-1064,Staying Still
 1438774594039, +112,  +24,-1072,Staying Still
 1438774594080, +120,  +32,-1088,Staying Still
 1438774594121, +120,  +24,-1064,Staying Still
 1438774594162, +128,  +24,-1072,Staying Still
 1438774594203, +128,  +32,-1072,Staying Still
 1438774594244, +120,  +32,-1072,Staying Still
 1438774594285, +120,  +32,-1088,Staying Still
 1438774594326, +120,  +24,-1072,Staying Still
 1438774594367, +120,  +32,-1072,Staying Still
 1438774594408, +120,  +40,-1072,Staying Still
 1438774594449, +120,  +32,-1072,Staying Still
 1438774594490, +128,  +32,-1072,Staying Still
 1438774594531, +120,  +32,-1080,Staying Still
 1438774594572, +120,  +32,-1080,Staying Still
 1438774594613, +120,  +24,-1064,Staying Still
 1438774594654, +120,  +24,-1080,Staying Still
 1438774594695, +120,  +24,-1072,Staying Still
 1438774594736, +120,  +24,-1072,Staying Still
 1438774594777, +120,  +24,-1072,Staying Still
 1438774594818, +120,  +24,-1088,Staying Still
 1438774594859, +120,  +32,-1080,Staying Still
 1438774594900, +112,  +24,-1072,Staying Still
 1438774594941, +120,  +24,-1072,Staying Still
 1438774594982, +120,  +32,-1072,Staying Still
 1438774595023, +120,  +24,-1056,Staying Still
 1438774595064, +120,  +24,-1064,Staying Still
 1438774595105, +120,  +24,-1072,Staying Still
 1438774595146, +120,  +24,-1080,Staying Still
 1438774595187, +120,  +40,-1072,Staying Still
 1438774595228, +120,  +32,-1064,Staying Still
 1438774595269, +120,  +32,-1088,Staying Still
 1438774595310, +120,  +32,-1064,Staying Still
 1438774595351, +120,  +32,-1064,Staying Still
 1438774595392, +128,  +16,-1080,Staying Still
 1438774595433, +128,  +24,-1080,Staying Still
 1438774595474, +120,  +32,-1088,Staying Still
 1438774595515, +112,  +32,-1072,Staying Still
 1438774595556, +120,  +32,-1080,Staying Still
 1438774595597, +120,  +32,-1080,Staying Still
 1438774595638, +128,  +24,-1080,Staying Still
 1438774595679, +120,  +32,-1072,Staying Still
 1438774595720, +128,  +24,-1080,Staying Still
 1438774595761, +128,  +32,-1072,Staying Still
 1438774595802, +136,  +32,-1080,Staying Still
 1438774595843, +128,  +24,-1072,Staying Still
 1438774595884, +104,  +32,-1072,Staying Still
 1438774595925, +112,  +32,-1056,Staying Still
 1438774595966, +112,  +32,-1080,Staying Still
 1438774596007, +120,  +32,-1072,Staying Still
 1438774596048, +120,  +24,-1080,Staying Still
 1438774596089, +120,  +32,-1080,Staying Still
 1438774596130, +128,  +24,-1072,Staying Still
 1438774596171, +128,  +32,-1088,Staying Still
 1438774596212, +112,  +32,-1080,Staying Still
 1438774596253, +120,  +32,-1080,Staying Still
 1438774596294, +120,  +32,-1064,Staying Still
 1438774596335, +120,  +32,-1072,Staying Still
 1438774596376, +112,  +24,-1072,Staying Still
 1438774596417, +112,  +24,-1088,Staying Still
 1438774596458, +104,  +16,-1080,Staying Still
 1438774596499, +112,  +32,-1088,Staying Still
 1438774596540, +120,  +32,-1064,Staying Still
 1438774596581, +120,  +32,-1072,Staying Still
 1438774596622, +120,  +24,-1080,Staying Still
 1438774596663, +112,  +32,-1080,Staying Still
 1438774596704, +120,  +24,-1064,Staying Still
 1438774596745, +112,  +32,-1064,Staying Still
 1438774596786, +136,  +32,-1080,Staying Still
 1438774596827, +128,  +32,-1080,Staying Still
 1438774596868, +128,  +24,-1072,Staying Still
 1438774596909, +120,  +32,-1080,Staying Still
 1438774596950, +128,  +32,-1080,Staying Still
 1438774596991, +128,  +32,-1072,Staying Still
 1438774597032, +120,  +32,-1080,Staying Still
 1438774597073, +120,  +24,-1080,Staying Still
 1438774597114, +120,  +24,-1088,Staying Still
 1438774597155, +120,  +16,-1088,Staying Still
 1438774597196, +120,  +32,-1064,Staying Still
 1438774597237, +120,  +16,-1088,Staying Still
 1438774597278, +120,  +32,-1080,Staying Still
 1438774597319, +128,  +40,-1080,Staying Still
 1438774597360, +120,  +32,-1080,Staying Still
 1438774597401, +120,  +40,-1080,Staying Still
 1438774597442, +128,  +32,-1072,Staying Still
 1438774597483, +128,  +32,-1072,Staying Still
 1438774597524, +120,  +32,-1072,Staying Still
 1438774597565, +120,  +32,-1072,Staying Still
 1438774597606, +112,  +24,-1064,Staying Still
 1438774597647, +120,  +32,-1072,Staying Still
 1438774597688, +120,  +32,-1080,Staying Still
 1438774597729, +128,  +32,-1072,Staying Still
 1438774597770, +128,  +24,-1104,Staying Still
 1438774597811, +128,  +32,-1072,Staying Still
 1438774597852, +128,  +32,-1088,Staying Still
 1438774597893, +128,  +32,-1072,Staying Still
 1438774597934, +128,  +32,-1072,Staying Still
 1438774597975, +120,  +32,-1080,Staying Still
 1438774598016, +120,  +32,-1072,Staying Still
 1438774598057, +120,  +32,-1072,Staying Still
 1438774598098, +128,  +32,-1080,Staying Still
 1438774598139, +120,  +32,-1080,Staying Still
 1438774598180, +120,  +24,-1064,Staying Still
 1438774598221, +120,  +32,-1072,Staying Still
 1438774598262, +112,  +40,-1088,Staying Still
 1438774598303, +112,  +40,-1072,Staying Still
 1438774598344, +120,  +40,-1064,Staying Still
 1438774598385, +120,  +40,-1080,Staying Still
 1438774598426, +120,  +40,-1064,Staying Still
 1438774598467, +128,  +40,-1064,Staying Still
 1438774598508, +120,  +32,-1080,Staying Still
 1438774598549, +112,  +40,-1064,Staying Still
 1438774598590, +112,  +40,-1080,Staying Still
 1438774598631, +112,  +40,-1080,Staying Still
 1438774598672, +120,  +48,-1072,Staying Still
 1438774598713, +120,  +32,-1080,Staying Still
 1438774598754, +112,  +40,-1048,Staying Still
 1438774598795, +120,  +32,-1072,Staying Still
 1438774598836, +128,  +32,-1072,Staying Still
 1438774598877, +120,  +32,-1064,Staying Still
 1438774598918, +120,  +24,-1080,Staying Still
 1438774598959, +120,  +40,-1088,Staying Still
 1438774599000, +120,  +32,-1072,Staying Still
 1438774599041, +120,  +40,-1064,Staying Still
 1438774599082, +128,  +32,-1072,Staying Still
 1438774599123, +128,  +40,-1064,Staying Still
 1438774599164, +128,  +32,-1080,Staying Still
 1438774599205, +120,  +40,-1080,Staying Still
 1438774599246, +120,  +40,-1080,Staying Still
 1438774599287, +112,  +32,-1088,Staying Still
 1438774599328, +120,  +32,-1080,Staying Still
 1438774599369, +128,  +32,-1072,Staying Still
 1438774599410, +120,  +32,-1072,Staying Still
 1438774599451, +120,  +32,-1072,Staying Still
 1438774599492, +120,  +32,-1080,Staying Still
 1438774599533, +120,  +32,-1072,Staying Still
 1438774599574, +120,  +40,-1072,Staying Still
 1438774599615, +112,  +32,-1080,Staying Still
 1438774599656, +112,  +32,-1080,Staying Still
 1438774599697, +112,  +32,-1080,Staying Still
 1438774599738, +112,  +40,-1088,Staying Still
 1438774599779, +112,  +24,-1080,Staying Still
 1438774599820, +128,  +24,-1080,Staying Still
 1438774599861, +120,  +24,-1080,Staying Still
 1438774599902, +120,  +24,-1080,Staying Still
 1438774599943, +120,  +32,-1080,Staying Still
 1438774599984, +120,  +32,-1064,Staying Still
 1438774600025, +120,  +40,-1072,Staying Still
 1438774600066, +112,  +40,-1064,Staying Still
 1438774600107, +120,  +32,-1064,Staying Still
 1438774600148, +112,  +40,-1064,Staying Still
 1438774600189, +112,  +40,-1072,Staying Still
 1438774600230, +120,  +32,-1064,Staying Still
 1438774600271, +120,  +32,-1064,Staying Still
 1438774600312, +120,  +40,-1080,Staying Still
 1438774600353, +120,  +40,-1080,Staying Still
 1438774600394, +128,  +32,-1072,Staying Still
 1438774600435, +128,  +32,-1064,Staying Still
 1438774600476, +120,  +32,-1080,Staying Still
 1438774600517, +112,  +24,-1088,Staying Still
 1438774600558, +120,  +32,-1072,Staying Still
 1438774600599, +120,  +40,-1064,Staying Still
 1438774600640, +120,  +40,-1072,Staying Still
 1438774600681, +120,  +40,-1064,Staying Still
 1438774600722, +120,  +32,-1072,Staying Still
 1438774600763, +120,  +24,-1072,Staying Still
 1438774600804, +120,  +32,-1064,Staying Still
 1438774600845, +112,  +32,-1080,Staying Still
 1438774600886, +120,  +32,-1080,Staying Still
 1438774600927, +120,  +32,-1072,Staying Still
 1438774600968, +120,  +32,-1080,Staying Still
 1438774601009, +120,  +48,-1088,Staying Still
 1438774601050, +128,  +32,-1064,Staying Still
 1438774601091, +120,  +40,-1072,Staying Still
 1438774601132, +120,  +40,-1064,Staying Still
 1438774601173, +120,  +40,-1072,Staying Still
 1438774601214, +120,  +32,-1072,Staying Still
 1438774601255, +120,  +32,-1088,Staying Still
 1438774601296, +120,  +32,-1072,Staying Still
 1438774601337, +120,  +32,-1064,Staying Still
 1438774601378, +120,  +32,-1088,Staying Still
 1438774601419, +120,  +40,-1080,Staying Still
 1438774601460, +120,  +40,-1064,Staying Still
 1438774601501, +120,  +32,-1064,Staying Still
 1438774601542, +120,  +40,-1080,Staying Still
 1438774601583, +120,  +40,-1072,Staying Still
 1438774601624, +112,  +40,-1080,Staying Still
 1438774601665, +120,  +40,-1072,Staying Still
 1438774601706, +120,  +32,-1080,Staying Still
 1438774601747, +112,  +40,-1064,Staying Still
 1438774601788, +112,  +32,-1072,Staying Still
 1438774601829, +104,  +32,-1080,Staying Still
 1438774601870, +112,  +40,-1072,Staying Still
 1438774601911, +112,  +40,-1080,Staying Still
 1438774601952, +120,  +40,-1064,Staying Still
 1438774601993, +120,  +32,-1072,Staying Still
 1438774602034, +120,  +40,-1080,Staying Still
 1438774602075, +120,  +32,-1072,Staying Still
 1438774602116, +112,  +40,-1080,Staying Still
 1438774602157, +120,  +40,-1064,Staying Still
 1438774602198, +112,  +48,-1064,Staying Still
 1438774602239, +120,  +40,-1072,Staying Still
 1438774602280, +144,  +40,-1080,Staying Still
 1438774602321, +128,  +32,-1064,Staying Still
 1438774602362, +120,  +40,-1088,Staying Still
 1438774602403, +112,  +40,-1072,Staying Still
 1438774602444, +112,  +40,-1072,Staying Still
 1438774602485, +120,  +40,-1072,Staying Still
 1438774602526, +112,  +32,-1072,Staying Still
 1438774602567, +112,  +48,-1072,Staying Still
 1438774602608, +112,  +32,-1072,Staying Still
 1438774602649, +120,  +32,-1072,Staying Still
 1438774602690, +120,  +24,-1056,Staying Still
 1438774602731, +112,  +24,-1080,Staying Still
 1438774602772, +112,  +32,-1072,Staying Still
 1438774602813, +120,  +32,-1080,Staying Still
 1438774602854, +120,  +32,-1088,Staying Still
 1438774602895, +120,  +32,-1080,Staying Still
 1438774602936, +120,  +24,-1072,Staying Still
 1438774602977, +112,  +32,-1072,Staying Still
 1438774603018, +120,  +32,-1080,Staying Still
 1438774603059, +128,  +32,-1048,Staying Still
 1438774603100, +120,  +40,-1088,Staying Still
 1438774603141, +104,  +32,-1072,Staying Still
 1438774603182, +120,  +32,-1080,Staying Still
 1438774603223, +120,  +40,-1072,Staying Still
 1438774603264, +120,  +24,-1080,Staying Still
 1438774603305, +112,  +24,-1080,Staying Still
 1438774603346, +112,  +24,-1080,Staying Still
 1438774603387, +112,  +32,-1080,Staying Still
 1438774603428, +120,  +24,-1072,Staying Still
 1438774603469, +120,  +32,-1072,Staying Still
 1438774603510, +120,  +48,-1056,Staying Still
 1438774603551, +112,  +24,-1072,Staying Still
 1438774603592, +112,  +32,-1080,Staying Still
 1438774603633, +120,  +40,-1064,Staying Still
 1438774603674, +112,  +24,-1088,Staying Still
 1438774603715, +120,  +24,-1064,Staying Still
 1438774603756, +112,  +24,-1088,Staying Still
 1438774603797, +120,  +32,-1088,Staying Still
 1438774603838, +120,  +24,-1072,Staying Still
 1438774603879, +120,  +24,-1072,Staying Still
 1438774603920, +128,  +24,-1064,Staying Still
 1438774603961, +128,  +24,-1072,Staying Still
 1438774604002, +120,  +24,-1080,Staying Still
 1438774604043, +120,  +24,-1080,Staying Still
 1438774604084, +120,  +24,-1072,Staying Still
 1438774604125, +104,  +24,-1080,Staying Still
 1438774604166, +112,  +24,-1072,Staying Still
 1438774604207, +136,  +24,-1080,Staying Still
 1438774604248, +120,  +32,-1072,Staying Still
 1438774604289, +120,  +32,-1080,Staying Still
 1438774604330, +112,  +32,-1088,Staying Still
 1438774604371, +112,  +32,-1072,Staying Still
 1438774604412, +120,  +32,-1072,Staying Still
 1438774604453, +112,  +32,-1072,Staying Still
 1438774604494, +112,  +32,-1072,Staying Still
 1438774604535, +120,  +32,-1064,Staying Still
 1438774604576, +120,  +24,-1088,Staying Still
 1438774604617, +120,  +24,-1072,Staying Still
 1438774604658, +120,  +24,-1064,Staying Still
 1438774604699, +120,  +32,-1080,Staying Still
 1438774604740, +120,  +24,-1080,Staying Still
 1438774604781, +120,  +32,-1080,Staying Still
 1438774604822, +120,  +32,-1080,Staying Still
 1438774604863, +120,  +32,-1072,Staying Still
 1438774604904, +128,  +32,-1072,Staying Still
 1438774604945, +128,  +32,-1080,Staying Still
 1438774604986, +120,  +32,-1064,Staying Still
 1438774605027, +120,  +24,-1072,Staying Still
 1438774605068, +120,  +24,-1088,Staying Still
 1438774605109, +120,  +24,-1080,Staying Still
 1438774605150, +120,  +32,-1072,Staying Still
 1438774605191, +112,  +24,-1088,Staying Still
 1438774605232, +104,  +32,-1080,Staying Still
 1438774605273, +112,  +24,-1080,Staying Still
 1438774605314, +120,  +32,-1072,Staying Still
 1438774605355, +120,  +32,-1080,Staying Still
 1438774605396, +112,  +32,-1064,Staying Still
 1438774605437, +112,  +32,-1080,Staying Still
 1438774605478, +112,  +24,-1072,Staying Still
 1438774605519, +112,  +24,-1080,Staying Still
 1438774605560, +112,  +24,-1064,Staying Still
 1438774605601, +120,  +24,-1072,Staying Still
 1438774605642, +120,  +32,-1080,Staying Still
 1438774605683, +120,  +32,-1080,Staying Still
 1438774605724, +104,  +40,-1040,Staying Still
 1438774605765, +120,  +16,-1088,Staying Still
 1438774605806, +112,  +16,-1056,Staying Still
 1438774605847, +120,   +8,-1072,Staying Still
 1438774605888, +128,  +16,-1080,Staying Still
 1438774605929, +128,  +24,-1088,Staying Still
 1438774605970, +128,  +24,-1064,Staying Still
 1438774606011, +128,  +32,-1080,Staying Still
 1438774606052, +120,  +24,-1072,Staying Still
